""	"corr"	"length"	"shift"
"1"	0.71	279	-10
"2"	0.51	112	24
"3"	0.67	421	40
"4"	0.87	1	-50
"5"	0.68	353	50
"6"	0.97	320	6
"7"	0.91	282	7
"8"	0.69	250	-34
"9"	0.83	183	-2
"10"	0.87	343	-21
"11"	0.66	267	35
"12"	0.89	268	1
"13"	0.35	1	-6
"14"	0.47	500	0
"15"	0.81	183	-20
"16"	0.5	165	50
"17"	0.85	1	22
"18"	0.74	227	40
"19"	0.63	415	50
"20"	0.62	192	50
"21"	0.58	329	50
"22"	0.92	159	0
"23"	0.92	253	-4
"24"	0.84	264	35
"25"	0.81	260	8
"26"	0.85	374	-12
"27"	0.74	361	-50
"28"	0.75	285	0
"29"	0.88	324	10
"30"	0.81	211	0
"31"	0.89	284	26
"32"	0.96	439	0
"33"	0.7	380	-48
"34"	0.71	308	-50
"35"	0.85	266	40
"36"	0.84	323	31
"37"	0.71	290	50
"38"	0.75	162	-27
"39"	0.74	385	-8
"40"	0.89	282	-37
"41"	0.81	370	6
"42"	0.89	308	-30
"43"	0.83	1	-17
"44"	0.65	372	-50
"45"	0.82	276	-27
"46"	0.8	279	-30
"47"	0.84	319	29
"48"	0.7	171	50
"49"	0.6	206	27
"50"	0.6	71	-50
"51"	0.84	1	-47
"52"	0.82	333	0
"53"	0.9	391	0
"54"	0.78	313	-33
"55"	0.67	1	50
"56"	0.85	329	9
"57"	0.66	198	-33
"58"	0.85	327	-32
"59"	0.67	211	28
"60"	0.61	500	0
"61"	0.74	255	-31
"62"	0.72	219	0
"63"	0.69	347	-50
"64"	0.74	330	-50
"65"	0.75	279	0
"66"	0.94	307	2
"67"	0.94	284	14
"68"	0.78	355	31
"69"	0.63	367	-7
"70"	0.92	246	-9
"71"	0.8	396	0
"72"	0.81	229	14
"73"	0.97	334	3
"74"	0.83	319	26
"75"	0.74	350	34
"76"	0.73	221	50
"77"	0.68	398	-31
"78"	0.8	165	8
"79"	0.72	1	32
"80"	0.77	397	-3
"81"	0.9	250	14
"82"	0.96	336	-4
"83"	0.91	327	-26
"84"	0.87	287	30
"85"	0.59	1	-50
"86"	0.62	399	-16
"87"	0.9	255	46
"88"	0.78	292	-14
"89"	0.92	312	21
"90"	0.91	258	7
"91"	0.65	252	-36
"92"	0.91	306	-16
"93"	0.81	174	-16
"94"	0.8	239	-49
"95"	0.83	1	40
"96"	0.75	382	0
"97"	0.79	270	7
"98"	0.68	343	50
"99"	0.66	200	16
"100"	0.82	369	13
"101"	0.8	331	33
"102"	0.86	206	-50
"103"	0.82	276	-3
"104"	0.81	258	-3
"105"	0.78	422	0
"106"	0.89	317	16
"107"	0.62	395	43
"108"	0.95	260	22
"109"	0.71	404	50
"110"	0.73	267	13
"111"	0.6	153	-32
"112"	0.72	386	20
"113"	0.88	305	3
"114"	0.8	313	-32
"115"	0.93	343	12
"116"	0.9	311	-5
"117"	0.9	253	-6
"118"	0.85	164	1
"119"	0.75	286	14
"120"	0.92	200	-3
"121"	0.71	377	-50
"122"	0.66	270	-25
"123"	0.84	340	-10
"124"	0.89	265	0
"125"	0.91	301	19
"126"	0.65	258	-36
"127"	0.92	316	10
"128"	0.67	231	-10
"129"	0.68	393	45
"130"	0.95	312	9
"131"	0.93	299	2
"132"	0.88	246	-23
"133"	0.86	422	0
"134"	0.95	336	-9
"135"	0.79	1	-43
"136"	0.74	274	50
"137"	0.91	233	-40
"138"	0.67	383	-33
"139"	0.76	365	0
"140"	0.75	476	0
"141"	0.61	370	-9
"142"	0.77	243	16
"143"	0.94	285	-17
"144"	0.66	463	0
"145"	0.92	344	11
"146"	0.91	288	-30
"147"	0.9	257	-19
"148"	0.63	371	0
"149"	0.61	166	0
"150"	0.87	313	-4
"151"	0.92	277	36
"152"	0.93	316	-4
"153"	0.73	343	14
"154"	0.86	273	25
