""	"r"	"width"	"shift"
"YAL068C"	0.68	299	39
"YAL067C"	0.86	229	45
"YAL064W"	0.7	380	-50
"YAL063C"	0.75	320	34
"YAL062W"	0.85	271	33
"YAL060W"	0.74	402	-25
"YAL059W"	0.85	247	50
"YAL058W"	0.74	211	50
"YAL056W"	0.78	288	16
"YAL055W"	0.9	296	29
"YAL054C"	0.65	457	-41
"YAL053W"	0.69	445	-34
"YAL051W"	0.91	335	13
"YAL049C"	0.88	290	38
"YAL048C"	0.74	219	50
"YAL047C"	0.67	214	50
"YAL046C"	0.64	200	50
"YAL044C"	0.86	262	41
"YAL043C"	0.85	302	35
"YAL042W"	0.86	299	18
"YAL041W"	0.89	278	30
"YAL040C"	0.45	457	-9
"YAL039C"	0.87	376	-25
"YAL038W"	0.6	169	49
"YAL036C"	0.86	288	32
"YAL035W"	0.85	286	28
"YAL034W-A"	0.82	266	37
"YAL034C"	0.85	235	46
"YAL033W"	0.81	227	50
"YAL032C"	0.86	256	49
"YAL031C"	0.83	277	47
"YAL030W"	0.83	275	32
"YAL029C"	0.69	436	-23
"YAL028W"	0.73	429	-28
"YAL027W"	0.86	223	39
"YAL026C"	0.85	258	50
"YAL025C"	0.91	295	33
"YAL024C"	0.87	258	38
"YAL023C"	0.91	330	16
"YAL022C"	0.86	260	30
"YAL021C"	0.83	269	43
"YAL020C"	0.83	284	32
"YAL019W"	0.83	284	27
"YAL017W"	0.87	308	6
"YAL016W"	0.78	259	50
"YAL015C"	0.62	437	-35
"YAL014C"	0.9	288	47
"YAL013W"	0.9	286	27
"YAL012W"	0.93	308	28
"YAL011W"	0.87	255	50
"YAL010C"	0.7	223	50
"YAL009W"	0.71	418	-12
"YAL008W"	0.76	221	50
"YAL007C"	0.9	283	33
"YAL005C"	0.51	403	-50
"YAL003W"	0.66	397	-50
"YAL002W"	0.95	336	-23
"YAL001C"	0.66	246	50
"YAR002W"	0.79	281	38
"YAR002C-A"	0.89	260	35
"YAR003W"	0.88	261	43
"YAR007C"	0.85	276	32
"YAR008W"	0.85	277	38
"YAR014C"	0.85	290	25
"YAR015W"	0.86	287	11
"YAR018C"	0.82	277	50
"YAR019C"	0.7	419	-18
"YAR027W"	0.83	279	47
"YAR033W"	0.84	235	30
"YAR042W"	0.88	316	16
"YBL108C-A"	0.74	277	38
"YBL106C"	0.85	243	50
"YBL105C"	0.87	289	44
"YBL103C"	0.9	297	39
"YBL102W"	0.89	294	23
"YBL101C"	0.7	188	50
"YBL099W"	0.77	393	-40
"YBL098W"	0.79	251	49
"YBL097W"	0.7	278	30
"YBL093C"	0.67	233	50
"YBL092W"	0.71	430	-23
"YBL091C-A"	0.86	241	38
"YBL091C"	0.86	229	46
"YBL090W"	0.84	232	50
"YBL089W"	0.78	229	44
"YBL088C"	0.61	181	50
"YBL087C"	0.75	434	-15
"YBL085W"	0.87	292	18
"YBL084C"	0.69	264	32
"YBL082C"	0.86	258	47
"YBL080C"	0.79	269	50
"YBL079W"	0.79	268	38
"YBL078C"	0.93	299	1
"YBL076C"	0.88	319	15
"YBL075C"	0.76	213	50
"YBL074C"	0.79	281	39
"YBL072C"	0.61	267	50
"YBL071W-A"	0.7	443	-47
"YBL069W"	0.85	254	50
"YBL068W"	0.8	277	42
"YBL067C"	0.89	292	23
"YBL064C"	0.92	323	12
"YBL063W"	0.76	250	37
"YBL061C"	0.85	272	50
"YBL060W"	0.68	193	50
"YBL059C-A"	0.78	227	50
"YBL058W"	0.75	274	43
"YBL057C"	0.86	298	40
"YBL056W"	0.86	295	14
"YBL055C"	0.91	315	11
"YBL054W"	0.83	298	40
"YBL052C"	0.91	263	42
"YBL051C"	0.83	306	19
"YBL050W"	0.83	306	21
"YBL049W"	0.86	240	40
"YBL047C"	0.86	313	20
"YBL046W"	0.86	315	37
"YBL045C"	0.67	415	-8
"YBL043W"	0.72	318	19
"YBL042C"	0.56	463	-12
"YBL041W"	0.84	246	44
"YBL040C"	0.79	247	39
"YBL039C"	0.94	411	-2
"YBL038W"	0.87	396	-21
"YBL037W"	0.88	277	34
"YBL036C"	0.88	297	23
"YBL035C"	0.85	286	29
"YBL034C"	0.87	274	25
"YBL033C"	0.66	463	-36
"YBL032W"	0.7	431	-36
"YBL031W"	0.85	285	41
"YBL030C"	0.74	387	-47
"YBL028C"	0.66	455	-22
"YBL027W"	0.69	411	-50
"YBL026W"	0.87	262	35
"YBL025W"	0.87	244	49
"YBL024W"	0.81	289	38
"YBL023C"	0.85	268	20
"YBL022C"	0.87	240	44
"YBL021C"	0.81	288	36
"YBL020W"	0.8	286	31
"YBL019W"	0.55	394	-18
"YBL018C"	0.89	301	29
"YBL017C"	0.78	392	-13
"YBL016W"	0.93	324	27
"YBL015W"	0.93	427	-3
"YBL014C"	0.94	319	15
"YBL013W"	0.93	315	12
"YBL011W"	0.75	419	-30
"YBL009W"	0.89	286	49
"YBL008W"	0.82	202	42
"YBL007C"	0.82	272	50
"YBL006C"	0.79	290	40
"YBL005W"	0.79	286	28
"YBL004W"	0.92	316	15
