""	"r"	"space"	"shift"
"1"	0.81	415	50
"2"	0.62	457	0
"3"	0.66	216	-37
"4"	0.62	626	18
"5"	0.75	685	0
"6"	0.78	318	9
"7"	0.69	284	8
"8"	0.68	598	0
"9"	0.52	184	-4
"10"	0.68	486	42
"11"	0.64	271	39
"12"	0.65	650	0
"13"	0.69	591	4
"14"	0.81	521	0
"15"	0.6	600	-14
"16"	0.4	181	50
"17"	0.66	1	23
"18"	0.67	344	-19
"19"	0.63	700	0
"20"	0.55	181	50
"21"	0.53	639	0
"22"	0.67	159	-7
"23"	0.63	255	-4
"24"	0.78	264	34
"25"	0.5	266	14
"26"	0.85	400	-37
"27"	0.75	526	-10
"28"	0.71	419	50
"29"	0.79	315	9
"30"	0.78	211	0
"31"	0.85	294	28
"32"	0.92	395	9
"33"	0.81	397	-50
"34"	0.67	308	-50
"35"	0.84	272	44
"36"	0.64	465	-36
"37"	0.78	504	0
"38"	0.68	318	50
"39"	0.76	367	-13
"40"	0.79	448	37
"41"	0.8	353	18
"42"	0.82	315	-33
"43"	0.7	1	-21
"44"	0.54	141	50
"45"	0.78	268	-21
"46"	0.72	283	-32
"47"	0.74	320	32
"48"	0.35	1	-32
"49"	0.53	177	46
"50"	0.77	89	-50
"51"	0.89	1	-47
"52"	0.79	442	50
"53"	0.9	439	-21
"54"	0.76	340	-35
"55"	0.66	583	8
"56"	0.75	322	6
"57"	0.68	529	-23
"58"	0.82	361	-50
"59"	0.65	584	0
"60"	0.65	575	-31
"61"	0.63	247	-26
"62"	0.41	195	-18
"63"	0.57	340	-50
"64"	0.61	280	-25
"65"	0.68	426	50
"66"	0.61	700	0
"67"	0.79	286	18
"68"	0.55	380	49
"69"	0.6	316	8
"70"	0.78	257	-16
"71"	0.88	466	-42
"72"	0.82	604	0
"73"	0.63	325	12
"74"	0.74	307	23
"75"	0.73	400	50
"76"	0.7	224	50
"77"	0.69	404	-50
"78"	0.6	172	17
"79"	0.41	608	-50
"80"	0.77	430	-35
"81"	0.7	691	0
"82"	0.59	462	50
"83"	0.65	478	34
"84"	0.83	453	-47
"85"	0.55	401	50
"86"	0.8	439	-50
"87"	0.9	256	46
"88"	0.67	289	-15
"89"	0.73	385	50
"90"	0.85	258	7
"91"	0.83	438	50
"92"	0.85	301	-14
"93"	0.59	341	50
"94"	0.64	236	-50
"95"	0.79	700	0
"96"	0.74	387	21
"97"	0.85	260	4
"98"	0.61	223	-1
"99"	0.63	415	-50
"100"	0.81	348	12
