""	"corr"	"length"	"shift"
"ST3634"	0.67	1	47
"ST3635"	0.82	218	50
"ST0001"	0.87	230	29
"ST3636"	0.85	239	0
"ST3637"	0.78	404	-2
"ST0002"	0.47	450	-30
"ST3638"	0.87	271	-25
"ST0003"	0.85	268	-35
"ST3639"	0.83	181	27
"ST3640"	0.73	302	-45
"ST0004"	0.83	171	39
"ST3641"	0.49	172	50
"ST0005"	0.81	212	-34
"ST3642"	0.88	243	-13
"ST0006"	0.87	244	19
"ST0007"	0.91	210	28
"ST0008"	0.79	290	-2
"ST0009"	0.93	297	14
"ST3643"	0.6	406	21
"ST0010"	0.75	185	18
"ST3644"	0.43	1	-16
"ST0011"	0.68	402	-43
"ST0012"	0.92	342	13
"ST3645"	0.91	291	21
"ST3646"	0.73	459	0
"ST3647"	0.59	451	0
"ST3648"	0.76	202	50
"ST0013"	0.85	203	50
"ST3649"	0.88	259	12
"ST3650"	0.88	306	13
"ST0014"	0.88	302	2
"ST0015"	0.9	277	-19
"ST3651"	0.82	181	35
"ST3652"	0.8	229	-50
"ST3653"	0.88	395	-3
"ST0016"	0.83	287	-44
"ST0017"	0.24	276	30
"ST0018"	0.78	201	-50
"ST3654"	0.87	287	8
"ST0019"	0.87	289	22
"ST0020"	0.83	263	4
"ST3655"	0.83	227	44
"ST0021"	0.82	227	49
"ST3656"	0.88	254	26
"ST3657"	0.85	272	3
"ST0022"	0.84	274	8
"ST3658"	0.64	398	-34
"ST0023"	0.7	396	-31
"ST0024"	0.88	225	47
"ST3659"	0.87	254	25
"ST3660"	0.92	292	-15
"ST3661"	0.9	258	29
"ST3662"	0.94	341	-5
"ST3663"	0.89	261	27
"ST3664"	0.82	267	46
"ST3665"	0.69	260	50
"ST0025"	0.85	282	2
"ST0026"	0.89	316	-5
"ST0027"	0.79	258	19
"ST3666"	0.77	205	21
"ST3667"	0.91	287	28
"ST0028"	0.92	286	9
"ST0029"	0.95	310	11
"ST0030"	0.92	250	6
"ST3668"	0.89	226	44
"ST0031"	0.87	223	42
"ST0032"	0.87	219	46
"ST3669"	0.9	282	33
"ST0033"	0.93	283	12
"ST3670"	0.7	225	50
"ST0034"	0.67	395	-39
"ST0035"	0.9	1	-16
"ST0036"	0.94	338	-9
"ST3671"	0.82	231	50
"ST3672"	0.8	277	0
"ST0037"	0.8	279	22
"ST3673"	0.91	257	7
"ST0038"	0.9	259	21
"ST3674"	0.87	276	20
"ST0039"	0.87	275	18
"ST3675"	0.87	290	13
"ST0040"	0.83	288	-38
"ST3676"	0.85	261	0
"ST0041"	0.71	203	35
"ST3677"	0.84	223	50
"ST0042"	0.86	217	24
"ST0043"	0.95	227	0
"ST0044"	0.87	278	32
"ST0045"	0.61	131	-38
"ST3678"	0.71	1	-11
"ST0046"	0.9	323	-20
"ST3680"	0.92	286	22
"ST3681"	0.86	246	-43
"ST3682"	0.89	289	24
"ST3683"	0.9	257	27
"ST3684"	0.91	297	9
"ST0048"	0.91	295	-3
"ST3685"	0.74	199	26
"ST0049"	0.71	389	-31
"ST0050"	0.84	248	17
"ST0051"	0.7	286	-25
"ST3686"	0.83	292	42
"ST0052"	0.55	1	-34
"ST3687"	0.72	225	14
"ST3688"	0.82	1	-50
"ST0053"	0.57	366	0
"ST3689"	0.89	239	13
"ST0054"	0.85	181	23
"ST3690"	0.87	231	46
"ST0055"	0.88	231	48
"ST0056"	0.8	230	32
"ST3691"	0.79	1	-35
"ST3692"	0.61	421	-5
"ST3693"	0.8	1	-44
"ST0057"	0.85	1	8
"ST3694"	0.69	271	30
"ST3695"	0.84	220	44
"ST0058"	0.88	254	10
"ST3696"	0.82	267	7
"ST0059"	0.81	267	16
"ST3697"	0.93	302	-9
"ST3698"	0.91	327	-7
"ST3699"	0.81	278	19
"ST0060"	0.81	278	-30
"ST3700"	0.6	258	41
"ST0061"	0.72	384	-50
"ST0062"	0.87	250	8
"ST0063"	0.81	278	45
"ST3701"	0.91	293	16
"ST0064"	0.91	291	-2
"ST3702"	0.91	273	19
"ST3703"	0.93	330	-12
"ST0065"	0.78	248	15
"ST3704"	0.87	271	24
"ST0066"	0.89	269	5
"ST3705"	0.89	225	39
"ST0067"	0.88	226	50
"ST0068"	0.76	271	8
"ST3706"	0.87	297	-3
"ST0069"	0.88	301	18
"ST3707"	0.87	304	4
"ST0070"	0.67	265	-50
"ST3708"	0.93	260	12
"ST3709"	0.86	312	5
"ST0071"	0.86	315	-17
"ST3710"	0.93	253	-1
"ST0072"	0.64	1	35
"ST3711"	0.87	318	13
"ST0073"	0.87	318	-16
"ST3712"	0.77	323	17
"ST0074"	0.62	183	3
"ST3713"	0.68	382	-50
"ST0075"	0.6	399	-44
"ST3714"	0.8	246	36
"ST0076"	0.82	243	-13
"ST3715"	0.7	397	-31
"ST0077"	0.71	393	-45
"ST3716"	0.88	275	34
"ST0078"	0.9	277	20
"ST3717"	0.89	298	-4
"ST3718"	0.86	286	-35
"ST3719"	0.88	274	-18
"ST3720"	0.67	416	-39
"ST0079"	0.69	399	-35
"ST0080"	0.87	283	4
"ST3721"	0.67	386	-40
"ST0081"	0.7	357	-23
"ST3722"	0.6	380	-37
"ST0082"	0.82	1	47
"ST3723"	0.68	295	9
"ST3724"	0.67	414	-31
"ST0083"	0.59	398	-26
"ST3725"	0.77	232	19
"ST3726"	0.73	1	-50
"ST0084"	0.88	261	38
"ST0085"	0.9	243	27
"ST0086"	0.82	289	-6
"ST3727"	0.87	265	0
"ST3728"	0.89	237	17
"ST3729"	0.81	288	34
"ST0087"	0.82	290	-22
"ST0088"	0.56	432	2
"ST3730"	0.91	303	17
"ST3731"	0.78	402	0
"ST0089"	0.78	283	-33
"ST0090"	0.88	1	34
"ST0091"	0.91	257	0
"ST3732"	0.95	319	-1
"ST0092"	0.93	314	-24
"ST0093"	0.66	273	25
"ST3733"	0.91	283	11
"ST0094"	0.92	282	1
"ST0095"	0.85	203	37
"ST3734"	0.83	263	50
"ST3735"	0.81	289	16
"ST0096"	0.79	1	49
"ST0097"	0.75	276	-50
"ST0098"	0.96	324	-7
"ST3736"	0.73	1	23
"ST3737"	0.84	1	-41
"ST0099"	0.75	1	-26
"ST3738"	0.76	1	20
"ST0100"	0.79	267	-37
"ST0101"	0.68	500	0
"ST3739"	0.85	286	-24
"ST3740"	0.88	302	17
"ST0102"	0.81	282	-49
"ST0103"	0.88	301	-4
"ST3741"	0.9	264	43
"ST0104"	0.92	272	34
"ST0105"	0.64	1	-22
"ST3742"	0.9	221	-3
"ST3743"	0.72	125	47
"ST0106"	0.72	67	50
"ST3744"	0.7	152	44
"ST0107"	0.66	405	33
"ST0108"	0.72	180	9
"ST3745"	0.77	1	-39
"ST3746"	0.85	1	-23
"ST0109"	0.77	256	50
"ST3747"	0.83	300	1
