""	"corr"	"length"	"shift"
"YAL068C"	0.7	300	14
"YAL067C"	0.86	228	19
"YAL064W"	0.68	332	-50
"YAL063C"	0.76	345	0
"YAL062W"	0.87	268	8
"YAL060W"	0.67	190	47
"YAL059W"	0.87	245	25
"YAL058W"	0.9	212	40
"YAL056W"	0.79	291	-7
"YAL055W"	0.94	297	5
"YAL054C"	0.68	214	35
"YAL053W"	0.67	407	-37
"YAL051W"	0.92	345	-10
"YAL049C"	0.91	291	14
"YAL048C"	0.89	217	27
"YAL047C"	0.84	206	41
"YAL046C"	0.86	202	42
"YAL044C"	0.87	260	16
"YAL043C"	0.88	305	10
"YAL042W"	0.88	304	-8
"YAL041W"	0.91	276	5
"YAL040C"	0.54	178	50
"YAL039C"	0.71	387	-44
"YAL038W"	0.6	170	23
"YAL036C"	0.87	287	7
"YAL035W"	0.87	286	3
"YAL034W-A"	0.83	265	11
"YAL034C"	0.88	233	20
"YAL033W"	0.83	224	28
"YAL032C"	0.88	254	23
"YAL031C"	0.84	276	22
"YAL030W"	0.84	273	7
"YAL029C"	0.62	403	-28
"YAL028W"	0.71	393	-31
"YAL027W"	0.9	221	13
"YAL026C"	0.87	255	29
"YAL025C"	0.94	294	9
"YAL024C"	0.9	256	14
"YAL023C"	0.93	340	-8
"YAL022C"	0.89	257	4
"YAL021C"	0.84	267	18
"YAL020C"	0.85	283	7
"YAL019W"	0.85	282	2
"YAL017W"	0.88	316	-19
"YAL016W"	0.79	260	27
"YAL015C"	0.75	206	39
"YAL014C"	0.92	288	22
"YAL013W"	0.93	285	2
"YAL012W"	0.95	310	4
"YAL011W"	0.9	254	31
"YAL010C"	0.88	222	28
"YAL009W"	0.87	223	44
"YAL008W"	0.87	218	39
"YAL007C"	0.93	283	8
"YAL005C"	0.55	328	-50
"YAL003W"	0.62	360	-50
"YAL002W"	0.83	319	-40
"YAL001C"	0.83	231	46
"YAR002W"	0.8	278	14
"YAR002C-A"	0.91	257	10
"YAR003W"	0.9	259	18
"YAR007C"	0.87	274	7
"YAR008W"	0.87	274	13
"YAR014C"	0.87	289	0
"YAR015W"	0.87	291	-12
"YAR018C"	0.86	268	30
"YAR019C"	0.84	222	40
"YAR027W"	0.86	282	25
"YAR033W"	0.88	233	3
"YAR042W"	0.92	325	-10
"YBL108C-A"	0.77	273	13
"YBL106C"	0.9	244	31
"YBL105C"	0.88	288	19
"YBL103C"	0.91	297	14
"YBL102W"	0.91	295	-2
"YBL101C"	0.84	192	40
"YBL099W"	0.71	382	-50
"YBL098W"	0.84	249	24
"YBL097W"	0.7	276	5
"YBL093C"	0.71	225	32
"YBL092W"	0.61	398	-29
"YBL091C-A"	0.89	239	12
"YBL091C"	0.89	227	21
"YBL090W"	0.88	229	30
"YBL089W"	0.82	226	18
"YBL088C"	0.77	170	47
"YBL087C"	0.62	423	-24
"YBL085W"	0.89	293	-5
"YBL084C"	0.7	257	4
"YBL082C"	0.87	256	22
"YBL080C"	0.81	270	27
"YBL079W"	0.81	266	13
"YBL078C"	0.91	300	-22
"YBL076C"	0.91	327	-11
"YBL075C"	0.87	210	28
"YBL074C"	0.81	277	16
"YBL072C"	0.61	266	25
"YBL071W-A"	0.71	386	-46
"YBL069W"	0.86	251	27
"YBL068W"	0.81	274	16
"YBL067C"	0.91	290	0
"YBL064C"	0.93	330	-13
"YBL063W"	0.78	248	12
